Card ID,Lesson Topic,Word Stem,French,Target Language (Lingala/Kituba),Audio Tag
5,Lesson 1: Basic Greetings,bonjour,bonjour,mbote,bonjour_1.mp3
6,Lesson 1: Basic Greetings,merci,merci,melesi,merci_1.mp3
20,Lesson 1: Basic Greetings,je,je m'appelle,kombo na ngai,je_1.mp3
23,Lesson 1: Basic Greetings,au,au revoir,kenda malamu,au_1.mp3
9,Lesson 2: Numbers,un,un,moko,un_2.mp3
10,Lesson 2: Numbers,deux,deux,mibale,deux_2.mp3
11,Lesson 2: Numbers,trois,trois,misato,trois_2.mp3
12,Lesson 2: Numbers,quatre,quatre,minei,quatre_2.mp3
13,Lesson 3: Family,père,père,tata,père_3.mp3
14,Lesson 3: Family,mère,mère,mama,mère_3.mp3
15,Lesson 3: Family,frère/soeur,frère/soeur,ndeko,frère/soeur_3.mp3
16,Lesson 3: Family,enfant,enfant,mwana,enfant_3.mp3
2,Lesson 4: Food & Drink,grammaire,"grammaire du lingala, par les frÃ¨res de Saint-Gabriel (1937)",â¢ Tokoyekola lingala (Apprenons le lingala),grammaire_4.mp3
17,Lesson 4: Food & Drink,eau,eau,mai,eau_4.mp3
18,Lesson 4: Food & Drink,pain,pain,mampa,pain_4.mp3
19,Lesson 4: Food & Drink,nourriture,nourriture,bilei,nourriture_4.mp3
3,Lesson 5: Survival & Verbs,cartes,cartes & documents,"→ Congo Kinshasa (ancien Congo belge, sud)",cartes_5.mp3
7,Lesson 5: Survival & Verbs,oui,oui,ee,oui_5.mp3
8,Lesson 5: Survival & Verbs,non,non,te,non_5.mp3
21,Lesson 5: Survival & Verbs,je,je suis,najali,je_5.mp3
22,Lesson 5: Survival & Verbs,je,je veux,nalingi,je_5.mp3
1,Lesson 6: General Vocabulary,vocabulaire,vocabulaire et phrases pratiques (1904),â¢ Notions de lingala ou langue du Haut-Fleuve,vocabulaire_6.mp3
4,Lesson 6: General Vocabulary,→,→ francophonie,franÃ§ais d'Afrique,→_6.mp3
24,"Lesson 7: News, Media & Society",le,Le gouvernement a annoncé de nouvelles lois pour la société.,Leta epesi mibeko ya sika mpo na mboka.,advanced_lin_1.mp3
25,Lesson 9: Urban Life & Technology,le,Le patient est allé à l'hôpital de la ville pour la maladie.,Akei na lopitalo ya engumba mpo na bokono.,advanced_lin_2.mp3
